12001;30111001;García;Ana;ana.garcia@example.com;15/03/2015;LI;2015
12002;30222002;López;Bruno;bruno.lopez@example.com;15/03/2015;LI;2015
12003;30333003;Martínez;Carla;carla.martinez@example.com;15/03/2015;LI;2015
12004;30444004;Rodríguez;Diego;diego.rodriguez@example.com;15/03/2016;LI;2015
12005;30555005;González;Elena;elena.gonzalez@example.com;15/03/2016;LI;2015
12006;30666006;Fernández;Franco;franco.fernandez@example.com;15/03/2017;LI;2015
12007;30777007;Pérez;Gabriela;gabriela.perez@example.com;15/03/2017;LI;2015
12008;30888008;Sánchez;Hernán;hernan.sanchez@example.com;15/03/2018;LI;2015
12009;30999009;Torres;Inés;ines.torres@example.com;15/03/2018;LI;2015
12010;31000010;Díaz;Javier;javier.diaz@example.com;15/03/2019;LI;2015
