LI;30111001;12001;01011;C1;01/03/2026
LI;30111001;12001;01012;C1;01/03/2026
LI;30222002;12002;01006;C2;01/03/2026
LI;30222002;12002;01007;C1;01/03/2026
LI;30333003;12003;01013;C1;01/03/2026
LI;30333003;12003;01014;C1;01/03/2026
LI;30444004;12004;01004;C2;01/03/2026
LI;30444004;12004;01005;C1;01/03/2026
LI;30555005;12005;01003;C3;01/03/2026
LI;30555005;12005;01004;C1;01/03/2026
LI;30666006;12006;01002;C2;01/03/2026
LI;30777007;12007;01002;C1;01/03/2026
LI;30888008;12008;01001;C1;01/03/2026
LI;30888008;12008;01002;C1;01/03/2026
LI;30999009;12009;01001;C2;01/03/2026
LI;31000010;12010;01001;C3;01/03/2026
