12001;30111001;LI;-;-;01001;Introducción a la Programación;15/07/2015;P;8;PC;8;1001;
12001;30111001;LI;-;-;01002;Matemática I;15/07/2015;P;7;PC;8;1002;
12001;30111001;LI;-;-;01003;Taller de Trabajo Intelectual;15/07/2015;P;A;PC;4;1003;
12001;30111001;LI;-;-;01004;Programación con Objetos I;15/12/2015;P;9;Ex;8;1004;
12001;30111001;LI;-;-;01005;Matemática II;15/12/2015;P;7;Ex;8;1005;
12001;30111001;LI;-;-;01006;Organización del Computador;15/12/2015;P;6;Ex;6;1006;
12001;30111001;LI;-;-;01007;Programación con Objetos II;15/07/2016;P;8;Ex;8;1007;
12001;30111001;LI;-;-;01008;Lógica y Programación;15/07/2016;P;7;PC;6;1008;
12001;30111001;LI;-;-;01009;Base de Datos;15/12/2016;P;9;Ex;8;1009;
12001;30111001;LI;-;-;01010;Algoritmos y Estructuras de Datos;15/12/2016;P;8;Ex;8;1010;
12002;30222002;LI;-;-;01001;Introducción a la Programación;15/07/2015;P;6;PC;8;1011;
12002;30222002;LI;-;-;01002;Matemática I;15/07/2015;P;5;PC;8;1012;
12002;30222002;LI;-;-;01003;Taller de Trabajo Intelectual;15/07/2015;P;A;PC;4;1013;
12002;30222002;LI;-;-;01004;Programación con Objetos I;15/12/2015;R;2;Ex;8;;1014
12002;30222002;LI;-;-;01004;Programación con Objetos I;15/07/2016;P;6;Ex;8;1015;
12002;30222002;LI;-;-;01005;Matemática II;15/12/2015;P;6;PC;8;1016;
12003;30333003;LI;-;-;01001;Introducción a la Programación;15/07/2015;P;10;PC;8;1017;
12003;30333003;LI;-;-;01002;Matemática I;15/07/2015;P;9;PC;8;1018;
12003;30333003;LI;-;-;01003;Taller de Trabajo Intelectual;15/07/2015;P;A;PC;4;1019;
12003;30333003;LI;-;-;01004;Programación con Objetos I;15/12/2015;P;10;Ex;8;1020;
12003;30333003;LI;-;-;01005;Matemática II;15/12/2015;P;9;Ex;8;1021;
12003;30333003;LI;-;-;01006;Organización del Computador;15/12/2015;P;8;Ex;6;1022;
12003;30333003;LI;-;-;01007;Programación con Objetos II;15/07/2016;P;9;Ex;8;1023;
12003;30333003;LI;-;-;01008;Lógica y Programación;15/07/2016;P;8;PC;6;1024;
12003;30333003;LI;-;-;01009;Base de Datos;15/12/2016;P;10;Ex;8;1025;
12003;30333003;LI;-;-;01010;Algoritmos y Estructuras de Datos;15/12/2016;P;9;Ex;8;1026;
12003;30333003;LI;-;-;01011;Redes de Computadoras;15/07/2017;P;8;Ex;6;1027;
12003;30333003;LI;-;-;01012;Ingeniería del Software I;15/07/2017;P;9;Ex;8;1028;
12004;30444004;LI;-;-;01001;Introducción a la Programación;15/07/2016;P;7;PC;8;1029;
12004;30444004;LI;-;-;01002;Matemática I;15/07/2016;P;6;PC;8;1030;
12004;30444004;LI;-;-;01003;Taller de Trabajo Intelectual;15/07/2016;P;A;PC;4;1031;
12005;30555005;LI;-;-;01001;Introducción a la Programación;15/07/2016;P;8;PC;8;1032;
12005;30555005;LI;-;-;01002;Matemática I;15/12/2016;P;7;Ex;8;1033;
12006;30666006;LI;-;-;01001;Introducción a la Programación;15/07/2017;P;5;PC;8;1034;
12007;30777007;LI;-;-;01001;Introducción a la Programación;15/07/2017;R;3;Ex;8;;1035
12007;30777007;LI;-;-;01001;Introducción a la Programación;15/12/2017;P;6;Ex;8;1036;
